Team,MP,xG,xGA,xGD,GF,GA,xG vs Actual
Manchester City FC,38,1.96,0.99,0.97,2.47,0.87,0.51
Arsenal FC,38,1.94,1.21,0.73,2.32,1.13,0.38
Brighton & Hove Albion FC,38,1.94,1.27,0.67,1.89,1.39,-0.05
Liverpool FC,38,1.89,1.29,0.6,1.97,1.24,0.08
Manchester United FC,38,1.77,1.49,0.28,1.53,1.13,-0.24
Newcastle United FC,38,1.77,1.32,0.45,1.79,0.87,0.02
Tottenham Hotspur FC,38,1.62,1.64,-0.02,1.84,1.66,0.22
Chelsea FC,38,1.61,1.48,0.13,1.0,1.24,-0.61
West Ham United FC,38,1.51,1.6,-0.09,1.11,1.45,-0.4
Leeds United FC,38,1.49,1.67,-0.18,1.26,2.05,-0.23
Fulham FC,38,1.42,1.65,-0.23,1.45,1.39,0.03
Brentford FC,38,1.42,1.77,-0.35,1.53,1.21,0.11
Everton FC,38,1.39,1.75,-0.36,0.89,1.5,-0.5
Aston Villa FC,38,1.38,1.47,-0.09,1.34,1.21,-0.04
Leicester City FC,38,1.34,1.65,-0.31,1.34,1.79,0.0
Crystal Palace FC,38,1.34,1.55,-0.21,1.05,1.29,-0.29
Southampton FC,38,1.32,1.6,-0.28,0.95,1.92,-0.37
Wolverhampton Wanderers FC,38,1.32,1.7,-0.38,0.82,1.53,-0.5
AFC Bournemouth,38,1.18,1.96,-0.78,0.97,1.87,-0.21
Nottingham Forest FC,38,1.18,1.76,-0.58,1.0,1.08,-0.18
