Team,MP,xG,xGA,xGD,GF,GA,xG vs Actual
Liverpool FC,38,2.08,1.23,0.85,2.26,1.08,0.18
Manchester City FC,38,2.03,0.93,1.1,2.53,0.89,0.5
Arsenal FC,38,1.83,0.92,0.91,2.39,0.76,0.56
Tottenham Hotspur FC,38,1.73,1.38,0.35,1.95,1.61,0.22
Chelsea FC,38,1.6,1.51,0.09,2.03,1.66,0.43
Brighton & Hove Albion FC,38,1.59,1.33,0.26,1.45,1.63,-0.14
Newcastle United FC,38,1.57,1.51,0.06,2.24,1.63,0.67
AFC Bournemouth,38,1.51,1.54,-0.03,1.42,1.76,-0.09
Manchester United FC,38,1.51,1.73,-0.22,1.5,1.53,-0.01
Aston Villa FC,38,1.46,1.38,0.08,2.0,1.61,0.54
Fulham FC,38,1.44,1.56,-0.12,1.45,1.61,0.01
Everton FC,38,1.43,1.47,-0.04,1.05,1.34,-0.38
Brentford FC,38,1.39,1.62,-0.23,1.47,1.71,0.08
Crystal Palace FC,38,1.32,1.38,-0.06,1.5,1.53,0.18
West Ham United FC,38,1.3,1.85,-0.55,1.58,1.95,0.28
Nottingham Forest FC,38,1.28,1.52,-0.24,1.29,1.76,0.01
Burnley FC,38,1.27,1.71,-0.44,1.08,2.05,-0.19
Wolverhampton Wanderers FC,38,1.27,1.65,-0.38,1.32,1.71,0.05
Luton Town FC,38,1.24,1.78,-0.54,1.37,2.24,0.13
Sheffield United FC,38,1.07,1.94,-0.87,0.92,2.74,-0.15
