Team,MP,xG,xGA,xGD,GF,GA,xG vs Actual
Liverpool FC,38,2.03,1.24,0.79,1.79,1.11,-0.24
Manchester City FC,38,1.98,0.98,1.0,2.18,0.84,0.2
Chelsea FC,38,1.84,1.17,0.67,1.53,0.95,-0.31
Manchester United FC,38,1.78,1.39,0.39,1.92,1.16,0.14
Leeds United FC,38,1.75,1.77,-0.02,1.63,1.42,-0.12
Aston Villa FC,38,1.72,1.76,-0.04,1.45,1.21,-0.27
Brighton & Hove Albion FC,38,1.63,1.31,0.32,1.05,1.21,-0.58
Leicester City FC,38,1.59,1.33,0.26,1.79,1.32,0.2
Arsenal FC,38,1.55,1.39,0.16,1.45,1.03,-0.1
Wolverhampton Wanderers FC,38,1.54,1.55,-0.01,0.95,1.37,-0.59
Tottenham Hotspur FC,38,1.5,1.6,-0.1,1.79,1.18,0.29
West Ham United FC,38,1.48,1.53,-0.05,1.63,1.24,0.15
Fulham FC,38,1.48,1.45,0.03,0.71,1.39,-0.77
Southampton FC,38,1.46,1.54,-0.08,1.24,1.79,-0.22
Everton FC,38,1.36,1.68,-0.32,1.24,1.26,-0.12
Burnley FC,38,1.33,1.84,-0.51,0.87,1.45,-0.46
Newcastle United FC,38,1.32,1.89,-0.57,1.21,1.63,-0.11
Crystal Palace FC,38,1.25,1.76,-0.51,1.08,1.74,-0.17
Sheffield United FC,38,1.2,1.76,-0.56,0.53,1.66,-0.67
West Bromwich Albion FC,38,1.18,2.01,-0.83,0.92,2.0,-0.26
