Team,MP,xG,xGA,xGD,GF,GA,xG vs Actual
Manchester City FC,38,2.36,1.03,1.33,2.68,0.92,0.32
Chelsea FC,38,2.0,1.18,0.82,1.82,1.42,-0.18
Liverpool FC,38,1.97,1.16,0.81,2.24,0.87,0.27
Manchester United FC,38,1.79,1.35,0.44,1.74,0.95,-0.05
Leicester City FC,38,1.75,1.32,0.43,1.76,1.08,0.01
Southampton FC,38,1.62,1.55,0.07,1.34,1.58,-0.28
Wolverhampton Wanderers FC,38,1.54,1.34,0.2,1.34,1.05,-0.2
Brighton & Hove Albion FC,38,1.53,1.6,-0.07,1.03,1.42,-0.5
Everton FC,38,1.52,1.47,0.05,1.16,1.47,-0.36
Tottenham Hotspur FC,38,1.49,1.74,-0.25,1.61,1.24,0.12
Aston Villa FC,38,1.49,1.9,-0.41,1.08,1.76,-0.41
West Ham United FC,38,1.46,1.67,-0.21,1.29,1.63,-0.17
Arsenal FC,38,1.43,1.75,-0.32,1.47,1.26,0.04
Watford FC,38,1.41,1.67,-0.26,0.95,1.68,-0.46
Sheffield United FC,38,1.33,1.45,-0.12,1.03,1.03,-0.12
Norwich City FC,38,1.31,1.96,-0.65,0.68,1.97,-0.63
Crystal Palace FC,38,1.29,1.67,-0.38,0.82,1.32,-0.47
Burnley FC,38,1.29,1.67,-0.38,1.13,1.32,-0.16
AFC Bournemouth,38,1.29,1.77,-0.48,1.05,1.71,-0.24
Newcastle United FC,38,1.25,1.88,-0.63,1.0,1.53,-0.25
